Macro_Strain	Macro_Strain_Error	Macro_Stress	Macro_Stress_Error	10-10_Long	10-10_Long_Error	0002_Long	0002_Long_Error	10-11_Long	10-11_Long_Error	10-12_Long	10-12_Long_Error	11-20_Long	11-20_Long_Error	10-13_Long	10-13_Long_Error	10-10_Trans	10-10_Trans_Error	0002_Trans	0002_Trans_Error	10-11_Trans	10-11_Trans_Error	10-12_Trans	10-12_Trans_Error	11-20_Trans	11-20_Trans_Error	10-13_Trans	10-13_Trans_Error
0	0.02	0	3	0.00E+00	38.303	0.00E+00	50.908	0.00E+00	38.614	0.00E+00	84.594	0.00E+00	48.564	0.00E+00	81.675	0.00E+00	38.321	0.00E+00	43.661	0.00E+00	33.683	0.00E+00	70.323	0.00E+00	75.654	0.00E+00	75.654
-0.2	0.02	-131	3	-2.11E+03	40.026	-2.29E+03	50.451	-1.92E+03	38.583	-1.87E+03	84.523	-2.11E+03	51.134	-2.00E+03	81.618	6.33E+02	41.596	7.70E+02	47.891	5.20E+02	35.209	4.93E+02	79.089	6.33E+02	77.203	5.72E+02	77.203
-0.4	0.02	-261.9	3	-4.22E+03	43.7	-4.58E+03	54.564	-3.84E+03	39.051	-3.75E+03	88.55	-4.22E+03	52.444	-4.00E+03	87.009	1.27E+03	41.916	1.54E+03	51.029	1.04E+03	38.418	9.86E+02	84.855	1.27E+03	82.781	1.15E+03	82.781
-0.6	0.02	-392.9	3	-6.33E+03	41.177	-6.86E+03	57.145	-5.76E+03	39.02	-5.62E+03	89.094	-6.33E+03	55.19	-5.99E+03	86.95	1.90E+03	45.405	2.31E+03	53.813	1.56E+03	38.426	1.48E+03	83.423	1.90E+03	85.275	1.72E+03	85.275
-0.8	0.02	-523.9	3	-8.43E+03	44.608	-9.15E+03	56.21	-7.68E+03	40.007	-7.50E+03	95.202	-8.43E+03	59.507	-7.99E+03	88.504	2.53E+03	45.415	3.08E+03	52.435	2.08E+03	38.435	1.97E+03	81.999	2.53E+03	93.859	2.29E+03	93.859
-1	0.02	-639.3	3	-1.04E+04	44.269	-1.13E+04	64.936	-9.42E+03	42.088	-9.00E+03	93.902	-1.04E+04	54.415	-9.81E+03	88.467	3.21E+03	49.059	3.90E+03	52.908	2.52E+03	36.817	2.23E+03	80.59	3.21E+03	97.415	2.85E+03	97.415
-1.2	0.02	-728.5	3	-1.22E+04	42.351	-1.32E+04	62.065	-1.07E+04	42.607	-9.93E+03	106.88	-1.22E+04	63.979	-1.12E+04	95.963	3.95E+03	53.869	4.77E+03	62.048	2.84E+03	38.999	2.37E+03	86.4	3.95E+03	98.321	3.31E+03	98.321
-1.4	0.02	-803.9	3	-1.37E+04	45.542	-1.50E+04	70.233	-1.17E+04	39.959	-1.06E+04	87.724	-1.37E+04	60.187	-1.23E+04	88.41	4.70E+03	57.043	5.67E+03	64.043	3.15E+03	42.982	2.50E+03	90.133	4.69E+03	103.76	3.70E+03	103.76
-1.6	0.02	-875	3	-1.53E+04	45.539	-1.67E+04	65.836	-1.27E+04	42.593	-1.13E+04	89.522	-1.53E+04	57.225	-1.32E+04	89.218	5.45E+03	55.628	6.56E+03	67.576	3.43E+03	40.683	2.62E+03	87.89	5.43E+03	104.69	4.10E+03	104.69
-1.8	0.05	-942.5	3	-1.68E+04	41.407	-1.83E+04	72.185	-1.35E+04	41.515	-1.19E+04	93.832	-1.68E+04	60.164	-1.42E+04	86.768	6.20E+03	54.225	7.46E+03	61.563	3.70E+03	41.828	2.71E+03	87.893	6.17E+03	109.32	4.44E+03	109.32
-2	0.05	-1006	3	-1.82E+04	39.29	-1.99E+04	63.41	-1.44E+04	42.58	-1.25E+04	90.725	-1.82E+04	61.658	-1.50E+04	84.372	6.95E+03	60.275	8.36E+03	61.567	3.97E+03	39.006	2.77E+03	97.798	6.91E+03	107.46	4.75E+03	107.46
-2.2	0.05	-1067	3	-1.96E+04	43.276	-2.14E+04	63.865	-1.52E+04	41.499	-1.31E+04	87.109	-1.96E+04	54.327	-1.59E+04	83.582	7.69E+03	68.336	9.25E+03	75.824	4.22E+03	41.832	2.84E+03	90.145	7.65E+03	106.54	5.06E+03	106.54
-2.4	0.1	-1127	3	-2.10E+04	50.212	-2.30E+04	58.725	-1.60E+04	46.463	-1.37E+04	122.04	-2.10E+04	63.162	-1.67E+04	92.512	8.44E+03	76.581	1.02E+04	81.074	4.46E+03	46.542	2.91E+03	112.91	8.38E+03	127.42	5.37E+03	127.42
-2.6	0.1	-1186	3	-2.24E+04	42.328	-2.45E+04	52.121	-1.67E+04	40.958	-1.43E+04	102.18	-2.24E+04	58.65	-1.75E+04	89.172	9.18E+03	74.321	1.10E+04	81.074	4.69E+03	44.162	2.99E+03	114.53	9.11E+03	106.54	5.67E+03	106.54
-2.8	0.1	-1244	3	-2.37E+04	42.328	-2.60E+04	52.121	-1.75E+04	40.958	-1.48E+04	102.18	-2.37E+04	58.65	-1.83E+04	89.172	9.92E+03	74.321	1.19E+04	81.074	4.93E+03	44.162	3.03E+03	114.53	9.84E+03	106.54	5.96E+03	106.54
