Macro_Strain	Macro_Strain_Error	Macro_Stress	Macro_Stress_Error	110_Long	110_Long_Error	200_Long	200_Long_Error	211_Long	211_Long_Error	220_Long	220_Long_Error	310_Long	310_Long_Error	321_Long	321_Long_Error	110_Trans	110_Trans_Error	200_Trans	200_Trans_Error	211_Trans	211_Trans_Error	310_Trans	310_Trans_Error	321_Trans	321_Trans_Error
-0.050000	0.020000	-3.0000	3.0000	0.0000	38.303	0.0000	50.908	0.0000	38.614	0.0000	84.594	0.0000	48.564	0.0000	81.675	0.0000	38.321	0.0000	43.661	0.0000	33.683	0.0000	70.323	0.0000	75.654
-0.18000	0.020000	-100.00	3.0000	-1541.8	40.026	-2130.1	50.451	-1599.8	38.583	-1679.7	84.523	-2173.3	51.134	-1397.8	81.618	596.96	41.596	794.14	47.891	584.21	35.209	554.30	79.089	558.51	77.203
-0.32000	0.020000	-200.00	3.0000	-3096.5	43.700	-4286.5	54.564	-3243.6	39.051	-3370.7	88.550	-4197.6	52.444	-3161.5	87.009	1273.2	41.916	1583.7	51.029	1219.6	38.418	1268.5	84.855	1090.2	82.781
-0.45000	0.020000	-300.00	3.0000	-4669.1	41.177	-6416.6	57.145	-4865.1	39.020	-4762.7	89.094	-6292.2	55.190	-4694.1	86.950	1702.7	45.405	2452.1	53.813	1773.7	38.426	2149.1	83.423	1714.0	85.275
-0.57000	0.020000	-400.00	3.0000	-6263.0	44.608	-8533.6	56.210	-6467.7	40.007	-6327.7	95.202	-8309.3	59.507	-6366.8	88.504	2306.9	45.415	3313.8	52.435	2359.3	38.435	2773.9	81.999	2389.1	93.859
-0.72000	0.020000	-500.00	3.0000	-7322.8	44.269	-9935.2	64.936	-7613.7	42.088	-7459.4	93.902	-9456.1	54.415	-7361.4	88.467	2687.8	49.059	3925.4	52.908	2746.7	36.817	3386.8	80.590	2797.8	97.415
-0.84000	0.020000	-575.00	3.0000	-8290.2	42.351	-11537	62.065	-8736.7	42.607	-8461.7	106.88	-11031	63.979	-8460.9	95.963	3024.0	53.869	4523.0	62.048	3196.4	38.999	3858.8	86.400	3195.8	98.321
-0.87000	0.020000	-600.00	3.0000	-8668.6	45.542	-12197	70.233	-9078.4	39.959	-9051.0	87.724	-11547	60.187	-8867.2	88.410	3192.2	57.043	4775.1	64.043	3381.4	42.982	4080.3	90.133	3290.0	103.76
-0.92000	0.020000	-625.00	3.0000	-8900.7	45.539	-12908	65.836	-9500.5	42.593	-9175.5	89.522	-12196	57.225	-9131.4	89.218	3272.3	55.628	5043.2	67.576	3429.7	40.683	4155.3	87.890	3615.2	104.69
-1.0100	0.050000	-650.00	3.0000	-9055.4	41.407	-13789	72.185	-9868.1	41.515	-9308.8	93.832	-12738	60.164	-9482.2	86.768	3536.4	54.225	5107.3	61.563	3660.8	41.828	4254.7	87.893	3768.2	109.32
-1.1200	0.050000	-675.00	3.0000	-9341.7	39.290	-14877	63.410	-10271	42.580	-9546.5	90.725	-13142	61.658	-9726.0	84.372	3726.8	60.275	5342.8	61.567	3715.5	39.006	4438.3	97.798	3695.4	107.46
-1.3000	0.050000	-700.00	3.0000	-9446.4	43.276	-15871	63.865	-10741	41.499	-9567.5	87.109	-13583	54.327	-9905.8	83.582	3965.1	68.336	5484.0	75.824	3931.2	41.832	4487.1	90.145	3939.4	106.54
-1.5300	0.10000	-720.00	3.0000	-9494.8	50.212	-16490	58.725	-10831	46.463	-9807.6	122.04	-13896	63.162	-9948.5	92.512	4104.2	76.581	5497.2	81.074	4004.1	46.542	4559.4	112.91	3971.5	127.42
-2.00	0.10000	-750.00	3.0000	-9635.2	42.328	-17443	52.121	-11417	40.958	-9666.1	102.18	-14247	58.650	-10377	89.172	4398.6	74.321	5487.4	81.074	4045.4	44.162	4466.3	114.53	3991.8	106.54
