 ******************************************************************************
 *Comment for the material                                                     
 ******************************************************************************
 COMPONENTS 11 22 33 OF SAMPLE STRAIN, STRESS, ELASTIC STRAIN, AVACS, PHASE STRAINS, PHASE STRESSES AND  ELASTIC PHASE STRAINS
 ******************************************************************************
  EPS1        EPS2        EPS3        EPS4        EPS5        EPS6        SIG1        SIG2        SIG3        SIG4        SIG5        SIG6        EEPS1       EEPS2       EEPS3       EEPS4       EEPS5       EEPS6          ACTAV    ph1_EPS1    ph1_EPS2    ph1_EPS3    ph1_EPS4    ph1_EPS5    ph1_EPS6    ph1_SIG1    ph1_SIG2    ph1_SIG3    ph1_SIG4    ph1_SIG5    ph1_SIG6    ph1_EEPS1   ph1_EEPS2   ph1_EEPS3   ph1_EEPS4   ph1_EEPS5   ph1_EEPS6  
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00     0.00000  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1637E-03  0.0000E+00 -0.2800E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.7078E-02 -0.1920E-01  0.2507E-18  0.8589E-19 -0.3945E-18  0.1637E-03 -0.8132E-19 -0.2800E-03 -0.2530E-35 -0.1170E-35  0.6019E-35     0.00000  0.4769E+00 -0.9781E-04 -0.8159E+00  0.2125E-17  0.5683E-17 -0.4429E-17  0.2597E-01 -0.2063E+02 -0.5603E+02  0.4116E-15  0.2149E-15 -0.1182E-14  0.4769E+00 -0.9781E-04 -0.8159E+00  0.4322E-16  0.4492E-19 -0.5362E-17
  0.3273E-03  0.0000E+00 -0.5600E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.1416E-01 -0.3843E-01  0.4851E-18  0.2672E-18 -0.9230E-18  0.3275E-03  0.4257E-07 -0.5603E-03 -0.3808E-21  0.2209E-20 -0.3092E-20     0.00000  0.9537E+00 -0.1454E-03 -0.1632E+01  0.5307E-19  0.3319E-17 -0.2223E-16  0.3860E-01 -0.4128E+02 -0.1121E+03  0.5363E-15  0.6113E-15 -0.2269E-14  0.9537E+00 -0.1454E-03 -0.1632E+01  0.9238E-17 -0.7421E-17 -0.1020E-16
  0.4909E-03  0.0000E+00 -0.8400E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.2124E-01 -0.5766E-01  0.6111E-18  0.4007E-18 -0.1293E-17  0.4914E-03  0.1059E-06 -0.8407E-03 -0.3274E-20  0.3310E-20 -0.2516E-20     0.00000  0.1431E+01 -0.1685E-03 -0.2448E+01  0.9648E-18  0.5268E-17 -0.2661E-16  0.4474E-01 -0.6194E+02 -0.1682E+03  0.3518E-14  0.1239E-14 -0.2273E-14  0.1431E+01 -0.1685E-03 -0.2448E+01 -0.2243E-16 -0.2171E-16 -0.4374E-16
  0.6544E-03  0.0000E+00 -0.1120E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.2833E-01 -0.7689E-01  0.6807E-18  0.4513E-18 -0.1654E-17  0.6554E-03  0.1793E-06 -0.1121E-02 -0.7476E-20  0.2491E-20 -0.1727E-20     0.00000  0.1907E+01 -0.1798E-03 -0.3265E+01  0.3634E-16  0.7217E-17 -0.2915E-16  0.4773E-01 -0.8259E+02 -0.2243E+03  0.2451E-14  0.1757E-14 -0.3328E-14  0.1907E+01 -0.1798E-03 -0.3265E+01  0.2655E-16  0.4114E-16  0.1270E-16
  0.8180E-03  0.0000E+00 -0.1400E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.3541E-01 -0.9613E-01  0.6664E-18  0.5327E-18 -0.1751E-17  0.8193E-03  0.2576E-06 -0.1402E-02 -0.1362E-19  0.2384E-20  0.5169E-20     0.00000  0.2384E+01 -0.1852E-03 -0.4081E+01  0.3704E-16 -0.1673E-16 -0.3303E-16  0.4918E-01 -0.1033E+03 -0.2804E+03  0.2189E-14  0.1622E-14 -0.4647E-14  0.2384E+01 -0.1852E-03 -0.4081E+01 -0.3851E-16 -0.5848E-17 -0.6530E-16
  0.9815E-03  0.0000E+00 -0.1680E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.4250E-01 -0.1154E+00  0.6509E-18  0.5461E-18 -0.2212E-17  0.9832E-03  0.3383E-06 -0.1682E-02 -0.1979E-19  0.7045E-21  0.3635E-20     0.00000  0.2861E+01 -0.1879E-03 -0.4898E+01  0.1561E-16  0.2096E-16 -0.3738E-16  0.4988E-01 -0.1239E+03 -0.3365E+03  0.4744E-14  0.2062E-14 -0.3830E-14  0.2861E+01 -0.1879E-03 -0.4898E+01  0.6708E-16 -0.4801E-16 -0.4642E-16
  0.1145E-02  0.0000E+00 -0.1960E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.4958E-01 -0.1346E+00  0.7515E-18  0.6418E-18 -0.2513E-17  0.1147E-02  0.4201E-06 -0.1963E-02 -0.2328E-19  0.9290E-21  0.5807E-20     0.00000  0.3338E+01 -0.1892E-03 -0.5714E+01  0.3170E-16 -0.6947E-18 -0.3178E-16  0.5023E-01 -0.1446E+03 -0.3926E+03  0.3431E-14  0.2145E-14 -0.4907E-14  0.3338E+01 -0.1892E-03 -0.5714E+01 -0.2682E-16  0.6839E-17  0.3592E-16
  0.1309E-02  0.0000E+00 -0.2240E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.5667E-01 -0.1538E+00  0.9337E-18  0.6920E-18 -0.2951E-17  0.1311E-02  0.5026E-06 -0.2243E-02 -0.2487E-19  0.1002E-21  0.4813E-20     0.00000  0.3815E+01 -0.1898E-03 -0.6531E+01 -0.1490E-16  0.7487E-17 -0.3904E-16  0.5039E-01 -0.1652E+03 -0.4486E+03  0.1650E-14  0.7558E-15 -0.5459E-14  0.3815E+01 -0.1898E-03 -0.6531E+01  0.2687E-16 -0.2958E-16  0.3251E-17
  0.1472E-02  0.0000E+00 -0.2520E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.6375E-01 -0.1731E+00  0.1073E-17  0.6529E-18 -0.3152E-17  0.1475E-02  0.5853E-06 -0.2524E-02 -0.2745E-19 -0.2795E-20  0.9305E-20     0.00000  0.4292E+01 -0.1901E-03 -0.7347E+01  0.5285E-16 -0.2582E-16 -0.9841E-18  0.5047E-01 -0.1859E+03 -0.5047E+03  0.6151E-14  0.3409E-15 -0.4666E-14  0.4292E+01 -0.1901E-03 -0.7347E+01  0.2813E-16  0.3058E-17 -0.1839E-15
