Macro_Strain	Macro_Strain_Error	Macro_Stress	Macro_Stress_Error	110_Long	110_Long_Error	200_Long	200_Long_Error	211_Long	211_Long_Error	310_Long	310_Long_Error	321_Long	321_Long_Error	110_Trans	110_Trans_Error	200_Trans	200_Trans_Error	211_Trans	211_Trans_Error	310_Trans	310_Trans_Error	321_Trans	321_Trans_Error
0	0.02	0	3	0	38.303	0	50.908	0	38.614	0.00E+00	48.564	0.00E+00	81.675	0	38.321	0	43.661	0	33.683	0	70.323	0	75.654
-0.2154	0.02	-146	3	-2007	40.026	-2669	50.451	-2041	38.583	-2.43E+03	51.134	-2.03E+03	81.618	596.96	41.596	794.14	47.891	584.21	35.209	554.3	79.089	558.51	77.203
-0.4308	0.02	-292.2	3	-4014	43.7	-5337	54.564	-4083	39.051	-4.86E+03	52.444	-4.07E+03	87.009	1273.2	41.916	1583.7	51.029	1219.6	38.418	1268.5	84.855	1090.2	82.781
-0.6462	0.02	-438.4	3	-6022	41.177	-8007	57.145	-6125	39.02	-7.29E+03	55.19	-6.10E+03	86.95	1702.7	45.405	2452.1	53.813	1773.7	38.426	2149.1	83.423	1714	85.275
-0.8615	0.02	-584.7	3	-8030	44.608	-10680	56.21	-8168	40.007	-9.73E+03	59.507	-8.14E+03	88.504	2306.9	45.415	3313.8	52.435	2359.3	38.435	2773.9	81.999	2389.1	93.859
-1.077	0.02	-684	3	-9379	44.269	-12960	64.936	-9545	42.088	-1.12E+04	54.415	-9.01E+03	88.467	2687.8	49.059	3925.4	52.908	2746.7	36.817	3386.8	80.59	2797.8	97.415
-1.292	0.02	-711.1	3	-9474	42.351	-13570	62.065	-9739	42.607	-1.14E+04	63.979	-9.19E+03	95.963	3024	53.869	4523	62.048	3196.4	38.999	3858.8	86.4	3195.8	98.321
-1.508	0.02	-728.1	3	-9521	45.542	-13940	70.233	-9818	39.959	-1.15E+04	60.187	-9.27E+03	88.41	3192.2	57.043	4775.1	64.043	3381.4	42.982	4080.3	90.133	3290	103.76
-1.723	0.02	-739	3	-9563	45.539	-14100	65.836	-9859	42.593	-1.16E+04	57.225	-9.32E+03	89.218	3272.3	55.628	5043.2	67.576	3429.7	40.683	4155.3	87.89	3615.2	104.69
-1.938	0.05	-747.5	3	-9606	41.407	-14210	72.185	-9889	41.515	-1.17E+04	60.164	-9.37E+03	86.768	3536.4	54.225	5107.3	61.563	3660.8	41.828	4254.7	87.893	3768.2	109.32
-2.154	0.05	-754.4	3	-9651	39.29	-14310	63.41	-9918	42.58	-1.17E+04	61.658	-9.41E+03	84.372	3726.8	60.275	5342.8	61.567	3715.5	39.006	4438.3	97.798	3695.4	107.46
-2.369	0.05	-760.4	3	-9691	43.276	-14390	63.865	-9945	41.499	-1.18E+04	54.327	-9.46E+03	83.582	3965.1	68.336	5484	75.824	3931.2	41.832	4487.1	90.145	3939.4	106.54
-2.585	0.1	-766.2	3	-9736	50.212	-14470	58.725	-9969	46.463	-1.19E+04	63.162	-9.49E+03	92.512	4104.2	76.581	5497.2	81.074	4004.1	46.542	4559.4	112.91	3971.5	127.42
-2.8	0.1	-771.4	3	-9778	42.328	-14540	52.121	-9992	40.958	-1.19E+04	58.65	-9.53E+03	89.172	4398.6	74.321	5487.4	81.074	4045.4	44.162	4466.3	114.53	3991.8	106.54
