  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00 
 -0.2800E-03 -0.2800E-03 -0.1920E-01  0.1500E-03  0.2185E-03  0.1492E-03  0.1500E-03  0.1939E-03  0.1263E-03  0.1494E-03  0.2185E-03  0.1901E-03  0.1263E-03  0.1765E-03  0.1310E-03 -0.2616E-03 -0.3446E-03 -0.2637E-03 -0.2616E-03 -0.3216E-03 -0.2334E-03 -0.2615E-03 -0.3446E-03 -0.3097E-03 -0.2334E-03 -0.2969E-03 -0.2402E-03 
 -0.5600E-03 -0.5600E-03 -0.3843E-01  0.3000E-03  0.4370E-03  0.2985E-03  0.3000E-03  0.3878E-03  0.2526E-03  0.2988E-03  0.4370E-03  0.3803E-03  0.2526E-03  0.3530E-03  0.2621E-03 -0.5233E-03 -0.6892E-03 -0.5275E-03 -0.5233E-03 -0.6433E-03 -0.4670E-03 -0.5231E-03 -0.6892E-03 -0.6195E-03 -0.4670E-03 -0.5938E-03 -0.4806E-03 
 -0.8400E-03 -0.8400E-03 -0.5766E-01  0.4500E-03  0.6555E-03  0.4477E-03  0.4500E-03  0.5817E-03  0.3789E-03  0.4482E-03  0.6555E-03  0.5703E-03  0.3789E-03  0.5294E-03  0.3932E-03 -0.7851E-03 -0.1034E-02 -0.7914E-03 -0.7851E-03 -0.9650E-03 -0.7007E-03 -0.7847E-03 -0.1034E-02 -0.9293E-03 -0.7007E-03 -0.8908E-03 -0.7210E-03 
 -0.1120E-02 -0.1120E-02 -0.7689E-01  0.6001E-03  0.8739E-03  0.5970E-03  0.6001E-03  0.7756E-03  0.5052E-03  0.5976E-03  0.8739E-03  0.7604E-03  0.5052E-03  0.7059E-03  0.5243E-03 -0.1047E-02 -0.1379E-02 -0.1055E-02 -0.1047E-02 -0.1287E-02 -0.9343E-03 -0.1046E-02 -0.1379E-02 -0.1239E-02 -0.9343E-03 -0.1188E-02 -0.9614E-03 
 -0.1400E-02 -0.1400E-02 -0.9613E-01  0.7501E-03  0.1092E-02  0.7462E-03  0.7501E-03  0.9694E-03  0.6315E-03  0.7470E-03  0.1092E-02  0.9505E-03  0.6315E-03  0.8824E-03  0.6554E-03 -0.1309E-02 -0.1723E-02 -0.1319E-02 -0.1309E-02 -0.1608E-02 -0.1168E-02 -0.1308E-02 -0.1723E-02 -0.1549E-02 -0.1168E-02 -0.1485E-02 -0.1202E-02 
 -0.1680E-02 -0.1680E-02 -0.1154E+00  0.9001E-03  0.1311E-02  0.8955E-03  0.9001E-03  0.1163E-02  0.7578E-03  0.8964E-03  0.1311E-02  0.1141E-02  0.7578E-03  0.1059E-02  0.7865E-03 -0.1570E-02 -0.2068E-02 -0.1583E-02 -0.1570E-02 -0.1930E-02 -0.1402E-02 -0.1570E-02 -0.2068E-02 -0.1859E-02 -0.1402E-02 -0.1782E-02 -0.1442E-02 
 -0.1960E-02 -0.1960E-02 -0.1346E+00  0.1050E-02  0.1529E-02  0.1045E-02  0.1050E-02  0.1357E-02  0.8841E-03  0.1046E-02  0.1529E-02  0.1331E-02  0.8841E-03  0.1235E-02  0.9176E-03 -0.1832E-02 -0.2413E-02 -0.1847E-02 -0.1832E-02 -0.2252E-02 -0.1635E-02 -0.1832E-02 -0.2413E-02 -0.2169E-02 -0.1635E-02 -0.2079E-02 -0.1683E-02 
 -0.2240E-02 -0.2240E-02 -0.1538E+00  0.1200E-02  0.1748E-02  0.1194E-02  0.1200E-02  0.1551E-02  0.1010E-02  0.1195E-02  0.1748E-02  0.1521E-02  0.1010E-02  0.1412E-02  0.1049E-02 -0.2094E-02 -0.2757E-02 -0.2111E-02 -0.2094E-02 -0.2574E-02 -0.1869E-02 -0.2093E-02 -0.2757E-02 -0.2479E-02 -0.1869E-02 -0.2376E-02 -0.1923E-02 
 -0.2520E-02 -0.2520E-02 -0.1731E+00  0.1350E-02  0.1966E-02  0.1343E-02  0.1350E-02  0.1745E-02  0.1137E-02  0.1345E-02  0.1966E-02  0.1711E-02  0.1137E-02  0.1588E-02  0.1180E-02 -0.2356E-02 -0.3102E-02 -0.2375E-02 -0.2356E-02 -0.2895E-02 -0.2103E-02 -0.2355E-02 -0.3102E-02 -0.2788E-02 -0.2103E-02 -0.2673E-02 -0.2164E-02 
 -0.2800E-02 -0.2800E-02 -0.1923E+00  0.1500E-02  0.2185E-02  0.1492E-02  0.1500E-02  0.1939E-02  0.1263E-02  0.1494E-02  0.2185E-02  0.1901E-02  0.1263E-02  0.1765E-02  0.1311E-02 -0.2618E-02 -0.3447E-02 -0.2639E-02 -0.2618E-02 -0.3217E-02 -0.2337E-02 -0.2617E-02 -0.3447E-02 -0.3098E-02 -0.2337E-02 -0.2970E-02 -0.2404E-02 
