# Map eggs to debian binary packages
#
# This file has 2 columns with the option of a third:
# 	[python package]	[debian binary package]		[option]

#
# Options:
#
# 	The only option implemented so far is "reduced" which means that the
# 	python dependency is not completely fulfilled by the debian dependency.
# 	This is useful when splitting packages but should be done with care.
# 	Using this option means warning messages are displayed every time that
# 	translation is used.
#

#
# The following is a hand maintained list
#

Reportlab                              	python-reportlab
RestrictedPython			python-restrictedpython
PyQt4					python-qt4
setuptools				python-pkg-resources			reduced=python-setuptools

#
# The following list is automatically generated from apt-file info by the scripts/generate script
#

adesklets                               adesklets
apt-p2p                                 apt-p2p
aptfs                                   aptfs
aptoncd                                 aptoncd
arandr                                  arandr
archivemail                             archivemail
archmage                                archmage
atheist                                 atheist
AutoDockTools                           autodocktools
autokey                                 autokey
Balazar                                 balazar
BalazarBrothers                         balazarbrothers
bicyclerepair                           bicyclerepair
bitbake                                 bitbake
JaroWinkler                             bitpim-lib
BitTornado                              bittornado
BitTorrent                              bittorrent
bkchem                                  bkchem
bleachbit                               bleachbit
bpython                                 bpython
bug-triage                              bug-triage
Bugs-Everywhere                         bugs-everywhere
pybugz                                  bugz
buildbot                                buildbot
burn                                    burn
bzr                                     bzr
bzr-avahi                               bzr-avahi
bzr-builddeb                            bzr-builddeb
bzr-cvsps-import                        bzr-cvsps-import
bzr-dbus                                bzr-dbus
bzr-email                               bzr-email
fastimport                              bzr-fastimport
bzr-git                                 bzr-git
bzr-gtk                                 bzr-gtk
bzr-hg                                  bzr-hg
Loom                                    bzr-loom
bzr-pqm                                 bzr-pqm
bzr-rewrite                             bzr-rebase
bzr-search                              bzr-search
bzr-stats                               bzr-stats
bzr-svn                                 bzr-svn
bzr-upload                              bzr-upload
bzr-xmloutput                           bzr-xmloutput
BzrTools                                bzrtools
twistedcaldav                           calendarserver
calibre                                 calibre
Canto                                   canto
CedarBackup2                            cedar-backup2
cGmail                                  cgmail
charm                                   charm
chm2pdf                                 chm2pdf
bzr-cia                                 cia-clients
Codeville                               codeville
Coherence                               coherence
computer-janitor                        computer-janitor
cm                                      config-manager
cvs2svn                                 cvs2svn
Cython                                  cython
d-feet                                  d-feet
dctrl2xml                               dctrl2xml
debomatic                               debomatic
debpartial-mirror                       debpartial-mirror
DebTorrent                              debtorrent
decompyle                               decompyle
deluge                                  deluge-core
DenyHosts                               denyhosts
dissy                                   dissy
include-server                          distcc-pump
DITrack                                 ditrack
odtwriter                               docutils-writer-odt
Dosage                                  dosage
dot2tex                                 dot2tex
driconf                                 driconf
DrPython                                drpython
dtrx                                    dtrx
duplicity                               duplicity
dynagen                                 dynagen
earcandy                                earcandy
ears                                    ears
editmoin                                editmoin
Eikazo                                  eikazo
elisa-plugins-bad                       elisa-plugins-bad
elisa-plugins-good                      elisa-plugins-good
elisa-plugins-ugly                      elisa-plugins-ugly
emesene                                 emesene
emma                                    emma
epigrass                                epigrass
bzr-etckeeper                           etckeeper
euca2ools                               euca2ools
quodlibet                               exfalso
Fabric                                  fabric
fail2ban                                fail2ban
flickrfs                                flickrfs
Fnorb                                   fnorb
fonttools                               fonttools
fontypython                             fontypython
The-FreeSmartphone-Framework-Daemon     fso-frameworkd
funkload                                funkload
fusil                                   fusil
fusion-icon                             fusion-icon
Gallery-Uploader                        gallery-uploader
gaphor                                  gaphor
gastablesgui                            gastables
gaupol                                  gaupol
GaussSum                                gausssum
gazpacho                                gazpacho
geximon                                 geximon
git-build-package                       git-buildpackage
gitosis                                 gitosis
giws                                    giws
gjots2                                  gjots2
gmobilemedia                            gmobilemedia
gnome-app-install                       gnome-codec-install
gnomecatalog                            gnomecatalog
GNS3                                    gns3
go2                                     go2
gourmet                                 gourmet
gozerbot                                gozerbot
gpodder                                 gpodder
gracie                                  gracie
gtg                                     gtg
GVB                                     gvb
gwibber                                 gwibber
HarvestMan                              harvestman
hellanzb                                hellanzb
hgsvn                                   hgsvn
hotwire                                 hotwire
ics                                     ics
indywiki                                indywiki
iotop                                   iotop
ipython                                 ipython
jack                                    jack
JCC                                     jcc
kphotobymail                            kphotobymail
lastfmsubmitd                           lastfmsubmitd
lazygal                                 lazygal
lfm                                     lfm
mod-python                              libapache2-mod-python
Pyste                                   libboost-python1.38-dev
netsnmp-python                          libsnmp-python
live-magic                              live-magic
vcs-load-dirs                           load-dirs-common
loggerhead                              loggerhead
londonlaw                               londonlaw
lottanzb                                lottanzb
lshell                                  lshell
ludev-t                                 ludevit
lybniz                                  lybniz
MayaVi                                  mayavi
Mayavi                                  mayavi2
megahal                                 megahal
mercurial                               mercurial-common
bhtree                                  mgltools-bhtree
DejaVu                                  mgltools-dejavu
geomutils                               mgltools-geomutils
gle                                     mgltools-gle
mglutil                                 mgltools-mglutil
MolKit                                  mgltools-molkit
NetworkEditor                           mgltools-networkeditor
opengltk                                mgltools-opengltk
Pmv                                     mgltools-pmv
PyAutoDock                              mgltools-pyautodock
PyBabel                                 mgltools-pybabel
pyglf                                   mgltools-pyglf
scenario                                mgltools-scenario
sff                                     mgltools-sff
Support                                 mgltools-support
symserv                                 mgltools-symserv
ViewerFramework                         mgltools-viewerframework
Vision                                  mgltools-vision
Volume                                  mgltools-volume
mimms                                   mimms
mini-dinstall                           mini-dinstall
Mirage                                  mirage
miro                                    miro
Model-Builder                           model-builder
moosic                                  moosic
mpDris                                  mpdris
musiclibrarian                          musiclibrarian
nuauth-command                          nuauth-utils
Nulog                                   nulog
obMenu                                  obmenu
offlineimap                             offlineimap
oggconvert                              oggconvert
oidua                                   oidua
ooo-thumbnailer                         ooo-thumbnailer
ooo2dbk                                 ooo2dbk
osc                                     osc
ows                                     ows
pdfposter                               pdfposter
Phatch                                  phatch
photo-uploader                          photo-uploader
Photon                                  photon
picard                                  picard
PIDA                                    pida
pkpgcounter                             pkpgcounter
planet                                  planet
Plywood                                 plywood
pondus                                  pondus
Pootle                                  pootle
python-policyd-spf                      postfix-policyd-spf-python
Postr                                   postr
prelude-correlator                      prelude-correlator
prewikka                                prewikka
prover9-mace4                           prover9-mace4
pssh                                    pssh
PsychoPy                                psychopy
PubTal                                  pubtal
Pwman3                                  pwman3
pybackpack                              pybackpack
pybridge                                pybridge
PyChecker                               pychecker
pychess                                 pychess
PyCoCuMa                                pycocuma
pyflakes                                pyflakes
Pygmy                                   pygmy
pygopherd                               pygopherd
pylint                                  pylint
lucene                                  pylucene
Pymacs                                  pymacs
pymol                                   pymol
Pympd                                   pympd
pyneighborhood                          pyneighborhood
pyqonsole                               pyqonsole
pyrite-publisher                        pyrite-publisher
Pyro                                    pyro
PyRoom                                  pyroom
pyscrabble                              pyscrabble-common
pyslide                                 pyslide
pytagsfs                                pytagsfs
Py2Play                                 python-2play
4Suite-XML                              python-4suite-xml
adns-python                             python-adns
Amara                                   python-amara
python-application                      python-application
AppTools                                python-apptools
python-apt                              python-apt
python-aspects                          python-aspects
py-Asterisk                             python-asterisk
AsynQueue                               python-asynqueue
pyspi                                   python-at-spi
python-augeas                           python-augeas
AuthKit                                 python-authkit
Axiom                                   python-axiom
Beaker                                  python-beaker
BeautifulSoup                           python-beautifulsoup
python-bibtex                           python-bibtex
python2-biggles                         python-biggles
PyBluez                                 python-bluez
Brlapi                                  python-brlapi
cx-bsdiff                               python-bsdiff
Catwalk                                 python-catwalk
python-cdd                              python-cdd
CDDB                                    python-cddb
cElementTree                            python-celementtree
Cerealizer                              python-cerealizer
PyCg                                    python-cg
Chaco                                   python-chaco
Cheetah                                 python-cheetah
pychm                                   python-chm
python-cjson                            python-cjson
pyclamav                                python-clamav
ClientCookie                            python-clientcookie
ClientForm                              python-clientform
py                                      python-codespeak-lib
logilab-constraint                      python-constraint
CouchDB                                 python-couchdb
CoverageTestRunner                      python-coverage-test-runner
Creoleparser                            python-creoleparser
pycrypto                                python-crypto
PythonDaap                              python-daap
python-daemon                           python-daemon
python-dateutil                         python-dateutil
python-debian                           python-debian
DecoratorTools                          python-decoratortools
DeliciousAPI                            python-deliciousapi
RuleDispatch                            python-dispatch
python-distutils-extra                  python-distutils-extra
Django                                  python-django
dmigrations                             python-django-dmigrations
South                                   python-django-south
tagging                                 python-django-tagging
python-djvulibre                        python-djvu
pydkim                                  python-dkim
python-dmidecode                        python-dmidecode
python-dmidecode-dbg                    python-dmidecode-dbg
pydns                                   python-dns
DSV                                     python-dsv
python-ecore                            python-ecore
python-e-dbus                           python-edbus
EditObj                                 python-editobj
python-edje                             python-edje
pyelemental                             python-elemental
Enable                                  python-enable
pyenchant                               python-enchant
EnthoughtBase                           python-enthoughtbase
EnvisageCore                            python-envisagecore
EnvisagePlugins                         python-envisageplugins
Epsilon                                 python-epsilon
python-evas                             python-evas
pyExcelerator                           python-excelerator
ExtensionClass                          python-extclass
Extractor                               python-extractor
eyeD3                                   python-eyed3
pyfacebook                              python-facebook
python-fam                              python-fam
FErari                                  python-ferari
FIAT                                    python-fiat
FibraNet                                python-fibranet
FormEncode                              python-formencode
libftdi                                 python-ftdi
fuse-python                             python-fuse
gdmodule                                python-gd
GDAL                                    python-gdal
gdata.py                                python-gdata
pygdchart                               python-gdchart2
Genetic                                 python-genetic
Genshi                                  python-genshi
GeoIP-Python                            python-geoip
GitPython                               python-git
gnuplot-py                              python-gnuplot
python-gnutls                           python-gnutls
pygpiv                                  python-gpiv
gpsd                                    python-gps
python-gtkmvc                           python-gtkmvc
HappyDoc                                python-happydoc
Ifeffit                                 python-ifeffit
PIL                                     python-imaging
pysane                                  python-imaging-sane
IMDbPY                                  python-imdbpy
Impacket                                python-impacket
IPy                                     python-ipy
python-irclib                           python-irclib
ISO8583-Module                          python-iso8583
Jinja                                   python-jinja
Jinja2                                  python-jinja2
json-py                                 python-json
jToolkit                                python-jtoolkit
python-ldap                             python-ldap
python-Levenshtein                      python-levenshtein
pylibpcap                               python-libpcap
Louie                                   python-louie
M2Crypto                                python-m2crypto
Magic-file-extensions                   python-magic
Mako                                    python-mako
MDP                                     python-mdp
python-memcached                        python-memcache
sqlalchemy-migrate                      python-migrate
pymilter                                python-milter
mingc                                   python-ming
MiniMock                                python-minimock
moin                                    python-moinmoin
python-mpd                              python-mpd
pymsn                                   python-msn
Multibuild                              python-multibuild
python-musicbrainz                      python-musicbrainz
python-musicbrainz2                     python-musicbrainz2
pyofa                                   python-musicdns
pymvpa                                  python-mvpa
Myghty                                  python-myghty
MyghtyUtils                             python-myghtyutils
MySQL-python                            python-mysqldb
python-netfilter                        python-netfilter
Nevow                                   python-nevow
pynifti                                 python-nifti
Numeric                                 python-numeric
OcempGUI                                python-ocempgui
pyogg                                   python-ogg
PyOpenAL                                python-openal
PyOpenGL                                python-opengl
python-openid                           python-openid
openoffice-python                       python-openoffice
pyOpenSSL                               python-openssl
python-oss                              python-oss
python-otr                              python-otr
PAM                                     python-pam
pyparallel                              python-parallel
Paste                                   python-paste
PasteDeploy                             python-pastedeploy
PasteScript                             python-pastescript
pyPgSQL                                 python-pgsql
python-pipeline                         python-pipeline
python-libpisock                        python-pisock
plasTeX                                 python-plastex
PLWM                                    python-plwm
PyProtocols                             python-protocols
python-ptrace                           python-ptrace
Babel                                   python-pybabel
PyChart                                 python-pychart
pyFltk                                  python-pyfltk
PyGLEW                                  python-pyglew
Pygments                                python-pygments
python-graph                            python-pygraph
PyGreSQL                                python-pygresql
PyICU                                   python-pyicu
PyKCS11                                 python-pykcs11
Pylons                                  python-pylons
pygpgme                                 python-pyme
PyMTP                                   python-pymtp
PyODE                                   python-pyode
py-pypcap                               python-pypcap
pyPdf                                   python-pypdf
Pyrex                                   python-pyrex
PyRRD                                   python-pyrrd
PyRSS2Gen                               python-pyrss2gen
pysnmp-apps                             python-pysnmp4-apps
pysnmp-mibs                             python-pysnmp4-mibs
PyTrilinos                              python-pytrilinos
PyVTK                                   python-pyvtk
PyWavelets                              python-pywt
PyX                                     python-pyx
Rabbyt                                  python-rabbyt
recaptcha-client                        python-recaptcha
pyremctl                                python-remctl
renpy-module                            python-renpy
Routes                                  python-routes
