# Map eggs to debian binary packages
#
# This file has 2 columns with the option of a third:
# 	[python package]	[debian binary package]		[option]

#
# Options:
#
# 	The only option implemented so far is "reduced" which means that the
# 	python dependency is not completely fulfilled by the debian dependency.
# 	This is useful when splitting packages but should be done with care.
# 	Using this option means warning messages are displayed every time that
# 	translation is used.
#

#
# The following is a hand maintained list
#

Reportlab                              	python-reportlab
py-rrdtool                              python-rrdtool
sAsync                                  python-sasync
ScientificPython                        python-scientific
scikits.openopt                         python-scikits-openopt
py-sendfile                             python-sendfile
pyserial                                python-serial
SetupDocs                               python-setupdocs
PySFML                                  python-sfml
Shapely                                 python-shapely
Skype4Py                                python-skype
smart                                   python-smartpm
python-snpp                             python-snpp
SOAPpy                                  python-soappy
python-socksipy                         python-socksipy
Soya                                    python-soya
SPARQLWrapper                           python-sparqlwrapper
pysparse                                python-sparse
Sphinx                                  python-sphinx
Sponge                                  python-sponge
SpreadModule                            python-spread
SQLAlchemy                              python-sqlalchemy
yum-metadata-parser                     python-sqlitecachec
SQLObject                               python-sqlobject
pystatgrab                              python-statgrab
pysubnettree                            python-subnettree
cwm                                     python-swap
PySyck                                  python-syck
pytcpwrap                               python-tcpwrap
tegaki-python                           python-tegaki
tegaki-pygtk                            python-tegaki-gtk
telepathy-python                        python-telepathy
Tempita                                 python-tempita
TurboTinyMCE                            python-tinymce
tkSnack                                 python-tksnack
Tofu                                    python-tofu
libtpclient-py                          python-tp-client
libtpproto-py                           python-tp-netlib
Traits                                  python-traits
TraitsBackendQt                         python-traitsbackendqt
TraitsBackendWX                         python-traitsbackendwx
TraitsGUI                               python-traitsgui
TRML2PDF                                python-trml2pdf
TurboGears                              python-turbogears
TurboGears2                             python-turbogears2
TurboJson                               python-turbojson
TurboKid                                python-turbokid
TurboMail                               python-turbomail
Twisted                                 python-twisted
Conch                                   python-twisted-conch
Twisted-Core                            python-twisted-core
Twisted-Lore                            python-twisted-lore
Twisted-Mail                            python-twisted-mail
Twisted-Names                           python-twisted-names
Twisted-News                            python-twisted-news
Twisted-Web                             python-twisted-web
Twisted-Words                           python-twisted-words
python-twitter                          python-twitter
pytz                                    python-tz
UniConvertor                            python-uniconvertor
pyusb                                   python-usb
uTidylib                                python-utidylib
VTK                                     python-vtk
PyWebDAV                                python-webdav
WebError                                python-weberror
WebFlash                                python-webflash
WebHelpers                              python-webhelpers
pyweblib                                python-weblib
WebOb                                   python-webob
web.py                                  python-webpy
WebTest                                 python-webtest
Werkzeug                                python-werkzeug
Whoosh                                  python-whoosh
python-xlib                             python-xlib
PyXML                                   python-xml
python-xmltv                            python-xmltv
pYsearch                                python-yahoo
PyYAML                                  python-yaml
ZConfig                                 python-zconfig
zinnia-python                           python-zinnia
ZODB3                                   python-zodb
ZSI                                     python-zsi
PythonCAD                               pythoncad
pytrainer                               pytrainer
pyzor                                   pyzor
qct                                     qct
qmtest                                  qmtest
QuantLib-Python                         quantlib-python
quickplay                               quickplay
rapache                                 rapache
rawdog                                  rawdog
rdiff-backup                            rdiff-backup
rebuildd                                rebuildd
rednotebook                             rednotebook
relational-gui                          relational
releaseforge                            releaseforge
remuco                                  remuco-base
roundup                                 roundup
rpl                                     rpl
rst2pdf                                 rst2pdf
rubber                                  rubber
sapgui-package                          sapgui-package
scanerrlog                              scanerrlog
scons                                   scons
screenlets                              screenlets
sesearch                                setroubleshoot
sixpack                                 sixpack
smart-notifier                          smart-notifier
snakefood                               snakefood
snimpy                                  snimpy
Sonata                                  sonata
Songwrite                               songwrite
spambayes                               spambayes
spe                                     spe
specto                                  specto
spf-milter-python                       spf-milter-python
sshproxy                                sshproxy
startupmanager                          startupmanager
stgit                                   stgit
Straw                                   straw
supervisor                              supervisor
supybot                                 supybot
svnmailer                               svnmailer
Switzerland                             switzerland
synce-kpm                               synce-kpm
sync-engine                             synce-sync-engine
synopsis                                synopsis
tailor                                  tailor
tegaki-train                            tegaki-train
tepache                                 tepache
Terminator                              terminator
Thuban                                  thuban
TileCache                               tilecache
tla-buildpackage                        tla-buildpackage
Trac                                    trac
TracAccountManager                      trac-accountmanager
TracAuthOpenId                          trac-authopenid
TracBzr                                 trac-bzr
TracGit                                 trac-git
TracMercurial                           trac-mercurial
TracSpamFilter                          trac-spamfilter
translate-toolkit                       translate-toolkit
trash                                   trash-cli
tryton                                  tryton-client
trytond-account                         tryton-modules-account
trytond-account-be                      tryton-modules-account-be
trytond-account-de-skr03                tryton-modules-account-de-skr03
trytond-account-invoice                 tryton-modules-account-invoice
trytond-account-invoice-history         tryton-modules-account-invoice-history
trytond-account-product                 tryton-modules-account-product
trytond-account-statement               tryton-modules-account-statement
trytond-analytic-account                tryton-modules-analytic-account
trytond-analytic-invoice                tryton-modules-analytic-invoice
trytond-analytic-purchase               tryton-modules-analytic-purchase
trytond-analytic-sale                   tryton-modules-analytic-sale
trytond-company                         tryton-modules-company
trytond-country                         tryton-modules-country
trytond-currency                        tryton-modules-currency
trytond-google-maps                     tryton-modules-google-maps
trytond-party                           tryton-modules-party
trytond-product                         tryton-modules-product
trytond-product-cost-fifo               tryton-modules-product-cost-fifo
trytond-product-cost-history            tryton-modules-product-cost-history
trytond-purchase                        tryton-modules-purchase
trytond-sale                            tryton-modules-sale
trytond-stock                           tryton-modules-stock
trytond-stock-forecast                  tryton-modules-stock-forecast
trytond-stock-inventory-location        tryton-modules-stock-inventory-location
trytond-stock-location-sequence         tryton-modules-stock-location-sequence
trytond-stock-product-location          tryton-modules-stock-product-location
trytond-stock-supply                    tryton-modules-stock-supply
trytond-stock-supply-day                tryton-modules-stock-supply-day
trytond                                 tryton-server
TTCN3Parser                             ttcn3parser
ufw                                     ufw
unattended-upgrades                     unattended-upgrades
UPnP-Inspector                          upnp-inspector
unperish                                unperish
urlscan                                 urlscan
urlwatch                                urlwatch
vboxgtk                                 vboxgtk
virtaal                                 virtaal
virtinst                                virtinst
wammu                                   wammu
wapiti                                  wapiti
webboard                                webboard
Wicd                                    wicd
wikipediafs                             wikipediafs
winpdb                                  winpdb
xmldiff                                 xmldiff
xmms2tray                               xmms2tray
xxdiff-scripts                          xxdiff-scripts
yagtd                                   yagtd
yokadi                                  yokadi
zenmap                                  zenmap
zeroinstall-injector                    zeroinstall-injector
zhone                                   zhone-illume-glue
zopyx.textindexng3                      zope-textindexng3-lib
