   9    Tab         12
  10     LF     130318
  32  Space    1053927
  33      !       4360
  34      "      21658
  35      #        918
  36      $         69
  37      %         69
  38      &         24
  39      '       8963
  40      (       2477
  41      )       2480
  42      *        602
  43      +        173
  44      ,      78207
  45      -      16897
  46      .      59488
  47      /        177
  48      0       3167
  49      1       5711
  50      2       3143
  51      3       2524
  52      4       2437
  53      5       2216
  54      6       2011
  55      7       1902
  56      8       2543
  57      9       2014
  58      :       2328
  59      ;       3527
  60      <         39
  61      =       3637
  62      >         46
  63      ?       4165
  64      @         50
  65      A      12439
  66      B       6053
  67      C       6293
  68      D       4103
  69      E       6024
  70      F       4635
  71      G       3248
  72      H       7437
  73      I      17319
  74      J       1326
  75      K       1703
  76      L       2919
  77      M       6358
  78      N       6899
  79      O       4343
  80      P       9150
  81      Q        151
  82      R       5892
  83      S       8860
  84      T      16609
  85      U       1654
  86      V       1872
  87      W       6269
  88      X        630
  89      Y       2296
  90      Z        146
  91      [        641
  92      \        153
  93      ]        647
  94      ^         42
  95      _       5980
  96      `         14
  97      a     396788
  98      b      67512
  99      c     139678
 100      d     212858
 101      e     631587
 102      f     117395
 103      g      94117
 104      h     288058
 105      i     350461
 106      j       5146
 107      k      31434
 108      l     197714
 109      m     121586
 110      n     364646
 111      o     384519
 112      p      90861
 113      q       4457
 114      r     305786
 115      s     328284
 116      t     447415
 117      u     137757
 118      v      50675
 119      w      94856
 120      x       9465
 121      y      88347
 122      z       3662
 123      {         13
 124      |        411
 125      }         15
 126      ~          2
