  RUN#	StartStress	StartStrain	StartPosition	EndStress	EndStrain	EndPosition	Macro_Stress	Macro_Stress_Error	Macro_Strain	Macro_Strain_Error	T0	MAH	Mon	110_Trans	110_Trans_Error	200_Trans	200_Trans_Error	211_Trans	211_Trans_Error	220_Trans	220_Trans_Error	310_Trans	310_Trans_Error	110_Long	110_Long_Error	200_Long	200_Long_Error	211_Long	211_Long_Error	220_Long	220_Long_Error	310_Long	310_Long_Error
30953	0	0	0	-10.102	0	28.447	-5.051	3	0	0.02	56936	3.05E+06	6.95E+05	0	14.551	0	10.288	0	10.501	0	20.612	0	17.619	0	16.961	0	26.566	0	30.438	0	14.542	0	20.326
30954	-15.626	-0.004	28.441	-33.216	-0.014	28.441	-24.421	3	-0.009	0.02	25830	1.22E+06	2.70E+05	126.04	16.471	51.529	12.125	70.539	12.178	71.161	25.921	72.833	21.279	-212.02	17.265	-191.49	33.111	-221.17	34.887	-192.8	15.799	-226.13	21.722
30955	-45.485	-0.022	28.429	-46.352	-0.023	28.429	-45.9185	3	-0.0225	0.02	22845	1.23E+06	2.73E+05	133.76	16.808	72.141	12.125	113.6	12.179	114.89	25.217	110.21	22.063	-334.53	17.264	-357.53	31.143	-376.28	35.472	-330.76	15.158	-322.91	22.448
30956	-55.759	-0.03	28.42	-57.282	-0.032	28.42	-56.5205	3	-0.031	0.02	23531	1.24E+06	2.71E+05	186.06	16.472	107.91	12.615	152.22	12.179	185.19	25.217	146.62	21.279	-433.47	17.263	-382.98	33.61	-467.57	34.302	-435.31	15.798	-459.93	21.719
30957	-69.689	-0.041	28.409	-69.682	-0.042	28.409	-69.6855	3	-0.0415	0.02	22918	1.21E+06	2.65E+05	261.94	17.15	149.74	12.615	190.08	12.179	197.19	25.922	197.41	22.861	-555.54	17.262	-539.92	32.116	-569.24	34.301	-569.84	15.797	-551.92	22.446
30958	-83.714	-0.054	28.398	-84.544	-0.055	28.399	-84.129	3	-0.0545	0.02	23492	1.22E+06	2.64E+05	300.95	16.809	191.57	12.616	233.15	12.179	280.36	25.922	244.37	22.064	-692.61	17.261	-669.6	33.106	-801.54	34.298	-691.52	15.155	-701.4	22.445
30959	-97.7	-0.067	28.388	-95.187	-0.065	28.388	-96.4435	3	-0.066	0.02	22843	1.20E+06	2.64E+05	360.54	16.473	209.75	13.116	284.38	12.179	333.51	26.636	267.37	21.28	-807.4	17.571	-762.92	33.606	-903.96	34.297	-834.62	15.795	-823.09	22.444
30960	-107.47	-0.076	28.38	-105.68	-0.074	28.379	-106.575	3	-0.075	0.02	23460	1.22E+06	2.66E+05	422.28	16.473	240.07	12.616	308.89	12.18	419.25	24.525	294.21	21.28	-893.5	17.57	-895.03	32.606	-1025.7	35.463	-916.03	15.794	-934.24	23.187
30961	-132.81	-0.1	28.36	-133.14	-0.101	28.36	-132.975	3	-0.1005	0.02	24063	1.23E+06	2.68E+05	509.73	16.141	278.86	12.616	421.75	11.6	479.26	25.22	386.2	22.065	-1153.1	17.568	-1115.6	33.101	-1220.9	34.874	-1164.5	15.793	-1162.3	22.44
30962	-159.79	-0.129	28.34	-159.38	-0.13	28.34	-159.585	3	-0.1295	0.02	23589	1.21E+06	2.63E+05	616.05	16.142	389.8	12.126	523.47	12.181	617.3	25.925	439.87	22.863	-1418.2	17.566	-1244.1	32.602	-1552.6	34.869	-1437	15.791	-1395.1	22.438
30963	-185.49	-0.163	28.32	-185.89	-0.166	28.32	-185.69	3	-0.1645	0.02	23467	1.23E+06	2.70E+05	764.81	16.475	443.15	12.617	612.58	12.181	715.04	25.926	545.29	22.066	-1695.3	17.563	-1416.2	32.107	-1919.2	34.283	-1709.5	15.789	-1605	22.436
30964	-212.02	-0.205	28.299	-210.41	-0.211	28.3	-211.215	3	-0.208	0.02	23489	1.23E+06	2.69E+05	923.86	16.144	481.34	12.617	742.52	11.602	849.64	25.927	641.12	21.283	-1973.7	17.25	-1477.4	32.6	-2256.9	33.134	-1976.9	15.146	-1742	22.435
30968	-233.03	-0.263	28.281	-231.8	-0.269	28.281	-232.415	3	-0.266	0.02	23477	1.22E+06	2.66E+05	1061.9	16.477	505.59	12.617	855.38	12.182	1042.5	26.642	640.16	21.283	-2216.2	17.248	-1515.5	32.106	-2592.4	34.274	-2220.2	15.145	-1934.6	23.178
30969	-253.13	-0.331	28.259	-249.4	-0.342	28.259	-251.265	3	-0.3365	0.02	23491	1.22E+06	2.65E+05	1235.5	16.478	497.71	12.617	921.46	11.603	1211.4	26.643	739.83	22.865	-2453.5	16.94	-1578	33.096	-3005.8	34.85	-2441.3	15.784	-1978.7	22.433
30970	-266.92	-0.414	28.237	-262.8	-0.429	28.237	-264.86	3	-0.4215	0.02	23557	1.24E+06	2.69E+05	1418.6	17.157	495.89	12.617	997.94	11.603	1352.9	25.931	677.53	21.283	-2626.1	16.343	-1594.9	34.102	-3399.9	36.026	-2612.7	15.783	-2054.4	23.937
30971	-275.43	-0.498	28.22	-270.72	-0.511	28.219	-273.075	3	-0.5045	0.02	22861	1.22E+06	2.69E+05	1521.1	17.158	463.16	12.617	1055.1	12.183	1472.1	25.228	740.78	22.067	-2758.4	16.342	-1565.8	32.599	-3581.7	36.024	-2715.5	15.782	-2101.3	23.177
30972	-288.91	-0.699	28.179	-282.58	-0.713	28.18	-285.745	3	-0.706	0.02	22979	1.23E+06	2.70E+05	1767.6	16.818	363.74	12.126	1096.7	11.604	1745.6	27.369	696.7	21.283	-2985.9	16.051	-1569.5	32.105	-3866.7	38.446	-2952	15.781	-2132	22.432
30973	-299.94	-0.912	28.138	-292.82	-0.931	28.138	-296.38	3	-0.9215	0.02	24049	1.20E+06	2.55E+05	1969.9	16.483	298.87	12.616	1177.6	12.183	1904.2	27.37	641.12	22.067	-3187.2	15.767	-1554.3	34.102	-4033.7	36.617	-3138.8	15.779	-2173.2	22.431
30974	-306.67	-1.127	28.099	-299.22	-1.144	28.099	-302.945	3	-1.1355	0.02	22820	1.21E+06	2.65E+05	2126	16.821	219.45	12.616	1228.9	11.604	2018.2	28.099	619.08	22.067	-3320	15.766	-1601.6	34.102	-4085.6	37.83	-3273.4	16.44	-2198.1	23.176
30975	-311.43	-1.347	28.059	-303.85	-1.365	28.059	-307.64	3	-1.356	0.02	23557	1.21E+06	2.60E+05	2196.3	16.485	219.45	13.116	1225.2	12.184	2125.4	28.1	588.41	23.673	-3426.6	15.765	-1574.3	34.102	-4102.7	37.83	-3335.1	17.117	-2166.5	23.176
30976	-316.44	-1.567	28.02	-308.14	-1.588	28.02	-312.29	3	-1.5775	0.02	22991	1.23E+06	2.69E+05	2250.3	17.507	151.56	12.615	1235.5	12.184	2234.3	28.101	553.91	22.863	-3493	15.764	-1578.6	33.597	-4110.1	38.443	-3423.3	17.117	-2252.7	23.175
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
