Macro_Strain	Macro_Strain_Error	Macro_Stress	Macro_Stress_Error	111_Long	111_Long_Error	200_Long	200_Long_Error	220_Long	220_Long_Error	311_Long	311_Long_Error	331_Long	331_Long_Error	420_Long	420_Long_Error	422_Long	422_Long_Error	111_Trans	111_Trans_Error	200_Trans	200_Trans_Error	220_Trans	220_Trans_Error	311_Trans	311_Trans_Error	331_Trans	331_Trans_Error	420_Trans	420_Trans_Error	422_Trans	422_Trans_Error
-2	0.05	-395.4	3	-1.43E+03	39.29	-2.63E+03	63.41	-1.46E+03	42.58	-1.92E+03	90.725	-1.45E+03	61.658	-1.64E+03	84.372	-1.60E+03	84.372	5.55E+02	60.275	1.62E+03	61.567	6.45E+02	39.006	9.72E+02	97.798	5.74E+02	107.46	8.05E+02	107.46	7.13E+02	107.46
-2.2	0.05	-413.3	3	-1.50E+03	43.276	-2.75E+03	63.865	-1.53E+03	41.499	-2.01E+03	87.109	-1.52E+03	54.327	-1.72E+03	83.582	-1.67E+03	83.582	5.82E+02	68.336	1.70E+03	75.824	6.74E+02	41.832	1.02E+03	90.145	6.00E+02	106.54	8.44E+02	106.54	7.48E+02	106.54
-2.4	0.1	-431.2	3	-1.56E+03	50.212	-2.87E+03	58.725	-1.59E+03	46.463	-2.10E+03	122.04	-1.58E+03	63.162	-1.79E+03	92.512	-1.74E+03	92.512	6.08E+02	76.581	1.78E+03	81.074	7.04E+02	46.542	1.07E+03	112.91	6.27E+02	127.42	8.83E+02	127.42	7.84E+02	127.42
-2.6	0.1	-449	3	-1.63E+03	42.328	-2.99E+03	52.121	-1.66E+03	40.958	-2.19E+03	102.18	-1.65E+03	58.65	-1.87E+03	89.172	-1.82E+03	89.172	6.34E+02	74.321	1.86E+03	81.074	7.34E+02	44.162	1.12E+03	114.53	6.54E+02	106.54	9.23E+02	106.54	8.20E+02	106.54
-2.8	0.1	-466.7	3	-1.69E+03	42.328	-3.11E+03	52.121	-1.72E+03	40.958	-2.28E+03	102.18	-1.71E+03	58.65	-1.94E+03	89.172	-1.89E+03	89.172	6.61E+02	74.321	1.94E+03	81.074	7.64E+02	44.162	1.17E+03	114.53	6.81E+02	106.54	9.62E+02	106.54	8.55E+02	106.54


		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
