Macro_Strain	Macro_Strain_Error	Macro_Stress	Macro_Stress_Error	111_Long	111_Long_Error	200_Long	200_Long_Error	220_Long	220_Long_Error	311_Long	311_Long_Error	331_Long	331_Long_Error	420_Long	420_Long_Error	422_Long	422_Long_Error	111_Trans	111_Trans_Error	200_Trans	200_Trans_Error	220_Trans	220_Trans_Error	311_Trans	311_Trans_Error	331_Trans	331_Trans_Error	420_Trans	420_Trans_Error	422_Trans	422_Trans_Error
0	0.02	0	3	0.00E+00	38.303	0.00E+00	50.908	0.00E+00	38.614	0.00E+00	84.594	0.00E+00	48.564	0.00E+00	81.675	0.00E+00	81.675	0.00E+00	38.321	0.00E+00	43.661	0.00E+00	33.683	0.00E+00	70.323	0.00E+00	75.654	0.00E+00	75.654	0.00E+00	75.654
-0.2	0.02	-192.9	3	-7.17E+02	40.026	-1.27E+03	50.451	-7.30E+02	38.583	-9.42E+02	84.523	-7.18E+02	51.134	-8.30E+02	81.618	-8.03E+02	81.618	2.68E+02	41.596	6.69E+02	47.891	3.17E+02	35.209	4.32E+02	79.089	2.73E+02	77.203	3.80E+02	77.203	3.32E+02	77.203
-0.4	0.02	-236.2	3	-8.66E+02	43.7	-1.57E+03	54.564	-8.80E+02	39.051	-1.15E+03	88.55	-8.71E+02	52.444	-9.97E+02	87.009	-9.64E+02	87.009	3.26E+02	41.916	8.68E+02	51.029	3.84E+02	38.418	5.40E+02	84.855	3.35E+02	82.781	4.64E+02	82.781	4.04E+02	82.781
-0.6	0.02	-263.4	3	-9.59E+02	41.177	-1.76E+03	57.145	-9.77E+02	39.02	-1.28E+03	89.094	-9.69E+02	55.19	-1.10E+03	86.95	-1.07E+03	86.95	3.63E+02	45.405	1.00E+03	53.813	4.27E+02	38.426	6.13E+02	83.423	3.75E+02	85.275	5.21E+02	85.275	4.53E+02	85.275
-0.8	0.02	-284.9	3	-1.04E+03	44.608	-1.90E+03	56.21	-1.06E+03	40.007	-1.38E+03	95.202	-1.05E+03	59.507	-1.19E+03	88.504	-1.15E+03	88.504	3.93E+02	45.415	1.11E+03	52.435	4.61E+02	38.435	6.71E+02	81.999	4.07E+02	93.859	5.67E+02	93.859	4.94E+02	93.859
-1	0.02	-304.4	3	-1.10E+03	44.269	-2.03E+03	64.936	-1.13E+03	42.088	-1.48E+03	93.902	-1.12E+03	54.415	-1.27E+03	88.467	-1.23E+03	88.467	4.21E+02	49.059	1.20E+03	52.908	4.93E+02	36.817	7.23E+02	80.59	4.37E+02	97.415	6.08E+02	97.415	5.31E+02	97.415
-1.2	0.02	-323.1	3	-1.17E+03	42.351	-2.15E+03	62.065	-1.19E+03	42.607	-1.57E+03	106.88	-1.19E+03	63.979	-1.34E+03	95.963	-1.30E+03	95.963	4.48E+02	53.869	1.29E+03	62.048	5.24E+02	38.999	7.73E+02	86.4	4.65E+02	98.321	6.48E+02	98.321	5.68E+02	98.321
-1.4	0.02	-341.4	3	-1.24E+03	45.542	-2.27E+03	70.233	-1.26E+03	39.959	-1.66E+03	87.724	-1.25E+03	60.187	-1.42E+03	88.41	-1.38E+03	88.41	4.75E+02	57.043	1.37E+03	64.043	5.54E+02	42.982	8.24E+02	90.133	4.92E+02	103.76	6.87E+02	103.76	6.05E+02	103.76
-1.6	0.02	-359.5	3	-1.30E+03	45.539	-2.39E+03	65.836	-1.33E+03	42.593	-1.75E+03	89.522	-1.32E+03	57.225	-1.49E+03	89.218	-1.45E+03	89.218	5.02E+02	55.628	1.45E+03	67.576	5.85E+02	40.683	8.73E+02	87.89	5.19E+02	104.69	7.27E+02	104.69	6.41E+02	104.69
-1.8	0.05	-377.5	3	-1.37E+03	41.407	-2.51E+03	72.185	-1.40E+03	41.515	-1.84E+03	93.832	-1.39E+03	60.164	-1.57E+03	86.768	-1.52E+03	86.768	5.29E+02	54.225	1.54E+03	61.563	6.15E+02	41.828	9.23E+02	87.893	5.47E+02	109.32	7.66E+02	109.32	6.77E+02	109.32
